Interview,Hired,appdate,Calculated Age,SEX,RESIDENCE,GPA undergrad,GPA GRAD,Masters Teaching,Long term sub,Student Teaching,Work Experience,Former Jobs with Children,Volunteer in Schools
yes,no,2004,46,Female,1,N/A,4.03,yes,no,yes,19,yes,yes
yes,no,2001,46,Female,2,3.19,3.55,yes,no,yes,23,yes,yes
yes,no,2004,48,Female,2,2.1,3.3,yes,no,no,24,yes,no
yes,no,2003,57,Female,2,3.65,3.97,yes,no,yes,13,yes,no
yes,no,2002,43,Male,1,2.36,3.56,no,yes,yes,22,yes,yes
yes,no,2003,42,Female,2,N/A,3.36,yes,yes,yes,19,yes,no
yes,no,2003,41,Male,1,2.79,4,yes,no,yes,19,yes,no
yes,no,2004,,Female,2,N/A,3.79,yes,yes,N/A,N/A,yes,no
yes,no,2003,55,  ,2,N/A,N/A,yes,no,N/A,31,yes,no
yes,no,2003,46,Female,1,3.43,3.13,yes,yes,yes,27,yes,yes
yes,no,2004,34,Female,2,2.97,3.95,yes,no,yes,9,no,no
yes,no,2003,23,Female,1,3.57,N/A,no,yes,yes,3,no ,no
yes,no,1999,33,Female,2,3.75,3.97,yes,no,no,6,yes,no
yes,no,2004,32,Female,2,3.94,N/A,no,yes,yes,10,yes,no
yes,no,2004,25,Female,2,3.04,N/A,no,no,yes,3,yes,no
yes,no,2004,25,Female,1,3.74,3.9,no,no,yes,6,yes,no
yes,no,2004,28,Female,2,N/A,N/A,no,no,yes,3,yes,no
yes,no,2004,29,Female,1,3.14,3.64,yes,no,yes,N/A,yes,no
yes,no,2003,39,Male,2,2.87,3.8,yes,yes,yes,N/A,no,no
yes,no,2003,24,Female,2,2.6,N/A,no,yes,yes,7,no,no
yes,no,2004,23,Female,2,3.85,N/A,no,yes,yes,3,yes,no
yes,no,2004,22,Female,2,3.4,N/A,no,no,yes,8,yes,no
yes,no,2004,,Female,2,3.14,3.46,yes,no,yes,N/A,yes,no
yes,no,2004,24,Female,1,2.59,3.68,yes,no ,yes,3,no,no
yes,no,2004,33,Female,1,2.65,3.29,yes,yes,yes,5,yes,no
yes,no,2003,31,Male,2,2.97,N/A,no,yes,yes,13,yes,no
yes,no,2004,25,Female,2,3.63,4,yes,yes,yes,4,yes,no
yes,no,2004,22,Female,2,3.84,N/A,no,no,yes,0.11,no,no
yes,no,2003,24,Female,2,3.85,4,yes,yes,yes,4,yes,no
yes,no,2004,28,Female,1,N/A,3.99,yes,no,yes,4,yes,no
yes,no,2003,27,Female,1,2.88,N/A,no,yes,yes,9,no,no
yes,no,2004,32,Female,1,2.98,N/A,no,yes,yes,N/A,yes,no
yes,no,2003,,Female,1,2.97,3.8,yes,no,yes,2,yes,no
yes,no,2003,23,Female,2,3.34,3.97,yes,no,yes,7,yes,no
yes,no,2004,23,Female,2,3.48,N/A,no,no,yes,7,yes,no
yes,no,2004,25,Female,2,3.23,N/A,no,no,yes,2,yes,no
yes,no,2003,,Male,2,3.1,3.92,yes,yes,yes,1,no,no
yes,no,2003,24,Female,2,3.04,3.63,yes,no,yes,4,yes,no
yes,no,2004,26,Female,1,N/A,N/A,no,yes,yes,8,no,no
yes,no,2004,24,Female,2,2.77,3.79,yes,no,yes,5,yes,yes
yes,no,2001,34,Male,2,N/A,N/A,no,no,no,10,yes,yes
yes,no,2003,35,Female,1,3.7,3.99,yes,yes,yes ,11,yes,no
yes,no,2003,25,Male,1,2.76,3.85,yes,no ,yes,5,no,no
yes,no,2003,,Female,1,N/A,N/A,no,no,yes,3,yes,no
yes,no,2003,31,Female,1,2.26,3.75,yes,no,yes,2,no,no
yes,no,2004,24,Female,2,3.59,4.13,yes,yes,yes,4,yes,no
yes,yes,2004,51,Female,2,2.75,3.94,yes,no,yes,13,no,no
yes,yes,2000,46,Female,1,3.3,3.83,yes,yes,yes,20,yes,no
yes,yes,2000,45,Female,1,2.48,N/A,yes,yes,yes,20,no,no
yes,yes,2001,40,Female,2,3.4,3.15,yes,yes,yes,14,yes,no
yes,yes,2001,26,Female,1,3.51,N/A,N/A,yes,yes,3,yes,no
yes,yes,2004,26,Female,1,3.5,3.83,N/A,yes,yes,8,yes,no
yes,yes,2001,24,Female,2,3.36,N/A,N/A,no,yes,4,yes,no
yes,yes,2000,25,Female,1,3.2,4,N/A,no,yes,4,no,no
yes,yes,1999,29,Female,1,2.66,N/A,N/A,no,yes,0,no,no
yes,yes,2000,23,Female,2,2.94,N/A,N/A,no,yes,3,yes,no
yes,yes,1999,29,Female,2,2.94,3.9,yes,no,yes,0,no,no
yes,yes,2004,26,Female,2,3.12,3.83,yes,yes,yes,0,no,no
yes,yes,2004,23,Female,2,3.67,N/A,N/A,no,yes,0,no,no
yes,yes,1999,27,Female,2,3.01,3.83,pending,yes,yes,0,no,no
yes,yes,2000,27,Female,2,3.04,3.8,N/A,no,yes,2,yes,yes
yes,yes,2001,30,Female,2,3.35,N/A,pending,no,yes,7,yes,no
yes,yes,2004,23,Female,1,3.59,3.9,yes,no,yes,3,yes,no
yes,yes,2004,22,Female,1,3.79,3.91,yes,no,yes,3,yes,no
yes,yes,2000,33,Female,2,4,3.94,yes,no,yes,11,yes,no
yes,yes,2004,26,Female,2,N/A,3.63,yes,no,yes,1,yes,no
yes,yes,2000,31,Female,1,2.73,3.8,yes,no,no,2,yes,no
yes,yes,2001,23,Female,1,3,N/A,N/A,no,yes,2,no,no
yes,yes,2001,22,Female,1,3.83,N/A,N/A,no,yes,5,yes,no
yes,yes,2000,25,Female,1,2.98,N/A,N/A,yes,yes,7,yes,no
yes,yes,2002,31,Male,1,3.24,3.79,yes,no,no,4,no,no
yes,yes,2001,22,Female,1,3.7,N/A,yes,no,yes,7,yes,no
yes,yes,2004,23,Female,1,3.66,N/A,N/A,yes,yes,3,yes,no
yes,yes,2002,24,Female,1,3.4,4,yes,yes,yes,3,yes,no
yes,yes,2003,22,Female,1,N/A,N/A,N/A,no,yes,2,no,yes
yes,yes,2002,23,Male,1,3.75,N/A,N/A,no,yes,1,yes,no
yes,yes,2004,35,Female,1,3.36,3.97,yes,no,yes,4,yes,no
yes,yes,2001,24,Female,1,3.23,N/A,N/A,no,yes,0,no,no
yes,yes,2003,24,Female,2,N/A,4.09,yes,no,yes,7,yes,no
yes,yes,1999,26,Female,2,3.35,N/A,no,no,yes,8,yes,no
yes ,yes,1999,30,Female,2,2.93,3.67,yes,yes,yes,6,yes,no
yes,yes,1999,33,Female,2,N/A,3.73,no,no,yes,12,no,no
yes ,yes ,1999,29,Female,2,N/A,N/A,yes,no,yes,1,no,no
yes ,yes ,1997,31,Female,1,N/A,3.21,yes,no,yes,11,yes,no
yes ,yes*,2000,43,F,2,3.52,3.89,yes,no,yes,0,no,yes
yes ,yes*,2003,49,F,2,,,no,yes,yes,21,no,no
yes,yes*,2000,46,F,1,N/A,N/A,no,no,yes,8,no,no
yes ,yes*,2002,42,F,1,3.86,3.88,yes,no,yes,13,no,no
yes,yes*,2001,40,M,1,3.66,N/A,no,no,yes,15,no,no
yes,yes*,2000,39,M,1,N/A,3.93,no,no,yes,20,no,no
yes,yes,2003,55,Female,1,N/A,3.94,yes,no,no,1,no,no
yes ,yes ,2000,30,Female,1,N/A,3.95,yes,no,yes,2 months,yes,no
yes ,yes,2002,22,Female,1,3.55,N/A,no,no,yes,8,yes,no
yes,yes,2004,23,Female,1,3.19,N/A,no,no,yes,6,yes,no
yes ,yes ,2004,35,Female,1,3.49,4,yes,no,no,0,no,no
yes,yes,1999,23,Female,2,3,N/A,no,no,yes,4,yes,no
yes ,yes,1998,27,Female,1,3.17,N/A,no,no,yes,10,no,no
yes ,yes ,1999,28,Male,2,2.73,3.56,yes,no,yes,9,yes,no
yes ,yes ,1999,27,Female,2,N/A,3.59,yes,no,yes,4,no,no
yes ,yes ,2002,24,Female,2,3.09,3.82,yes,no,yes,5,no,no
yes ,yes,1999,24,Female,1,3.26,N/A,no,yes,yes,0,no,no
yes ,yes ,1998,27,Female,1,N/A,9.97,yes,yes,yes,13,no,no
yes ,yes,1999,24,Female,2,3.75,N/A,no,yes,yes,0,no,no
yes ,yes,1997,27,Female,1,3.12,N/A,no,no,yes,6,yes,no
yes ,yes ,2000,N/A,Female,2,3.64,2.87,yes,no,no,0,no,no
yes ,yes,2004,26,Female,1,3.55,N/A,no,yes,yes,2,yes,no
yes,yes ,2001,38,Female,2,3.13,N/A,no,no,yes,9,yes,no
yes ,yes ,1999,25,Female,2,3.83,N/A,no,no,yes,2,yes,no
yes ,yes,1999,25,Female,1,3.11,4,yes,no,yes,1,no,no
yes,yes,1999,28,Female,1,3.38,3.98,yes,no,yes,5,no,no
no,no,2003,28,Female,2,2.6,3.96,yes,yes,yes,6,no,no
no,no,2003,23,Female,2,3.4,N/A,no,no,yes,7,yes,no
no,no,2004,N/A,Female,2,N/A,N/A,no,no,no,3,no,no
no,no,2004,26,Female,2,3.15,3.82,yes,yes,yes,6,no,no
no,no,2004,N/A,Female,1,3.34,N/A,no,no,no,0,no,no
no,no,2003,23,Female,2,3.64,N/A,no,no,yes,4,yes,no
no,no,2004,39,Female,2,2.9,N/A,no,no,yes,1,no,no
no,no,2004,25,Female,2,2.66,3.93,yes,no,yes,5,yes,no
no,no,2004,24,Female,2,N/A,3.87,pending,no,yes,3,no,no
no,no,2003,26,Female,2,3.4,N/A,no,no,yes,0,no,yes
no,no,2004,31,Female,2,N/A,3.77,yes,yes,yes,0,no,no
no,no,2003,32,Female,2,3.8,3.87,yes,no,yes,12,yes,no
no,no,2004,24,Female,2,3.98,N/A,no,no,yes,8,no,no
no,no,2004,27,Male,2,N/A,4,yes,no,yes,3,no,no
no,no,2004,26,Female,2,3.66,4,yes,no,yes,1,no,no
no,no,2004,33,Male,2,2.93,N/A,yes,no,yes,17,no,no
no,no,2004,24,Female,2,3.42,N/A,no,no,yes,7,yes,no
no,no,2003,36,Female,2,3.42,3.23,yes,no,yes,5,yes,no
no,no,2004,27,Female,2,3,N/A,no,no,yes,3,yes,no
no,no,2004,24,Female,2,3.83,N/A,no,yes,yes,2,yes,no
no,no,2004,37,Female,2,2.68,3.9,yes,no,yes,0,no,no
no,no,2003,27,Male,2,3,N/A,pending,yes,yes,2,no,no
no,no,2004,22,Female,3,3.75,N/A,no,no,yes,0,no,no
no,no,2004,23,Female,2,2.95,N/A,no,no,no,0,no,yes
no,no,2004,N/A,Female,2,3.46,3.95,yes,no,yes,0,no,no
no,no,2003,25,Male,2,3.03,N/A,no,no,yes,2,yes,no
no,no,N/A,N/A,Female,2,N/A,N/A,no,no,yes,8,yes,no
no,no,2003,28,Female,3,3.17,N/A,no,no,yes,11,yes,no
no,no,2003,26,Female,3,2.68,N/A,no,no,yes,3,yes,no
no,no,2003,31,Female,2,3.08,3.59,yes,yes,yes,8,no,no
no,no,2004,27,Female,2,3.9,N/A,no,no,yes,3,yes,no
no,no,2002,37,Female,2,2.97,2.83,yes,yes,yes,5,no,no
no,no,2003,31,Female,2,3.66,N/A,no,no,yes,4,no,no
no,no,2003,34,Female,2,3.5,3.88,yes,no,yes,10,yes,no
no,no,2004,38,Female,1,3.49,3.74,no,no,yes,5,no,no
no,no,2004,N/A,Female,2,3.12,N/A,no,no,yes,2,yes,no
no,no,2004,24,Female,2,N/A,N/A,no,yes,yes,6,yes,no
no,no,2003,25,Female,2,3.47,N/A,no,yes,yes,0,no,no
no,no,2004,25,Female,2,2.92,N/A,no,yes,yes,0,no,no
no,no,2003,25,Female,2,2.97,3.78,yes,no,yes,7,yes,no
no,no,2003,30,Female,2,3.3,N/A,no,no,no,4,no,no
no,no,2003,N/A,Female,2,3.21,N/A,no,no,yes,0,no,no
no,no,2004,31,Male,1,3.32,3.61,yes,no,yes,8,no,no
no,no,2004,23,Female,2,3.2,N/A,no,no,yes,8,no,no
no,no,2004,23,Female,2,4,N/A,no,no,yes,5,no,no
no,no,2003,23,Female,2,3.56,N/A,no,yes,yes,7,yes,no
no,no,2004,28,Female,3,3.22,N/A,no,no,yes,8,yes,no
no,no,2004,25,Female,2,3.17,3.95,yes,no,yes,3,no,yes
no,no,2003,24,Female,2,N/A,N/A,no,no,yes,4,no,no
no,no,2004,41,Male,2,N/A,3.77,yes,no,yes,5,no,no
no,no,2004,49,Female,2,2.78,N/A,yes,no,yes,0,no,no
no,no,2004,54,Female,2,2.87,4,yes,no,yes,7,yes,no
no,no,2004,44,Female,2,2.66,3.76,yes,no,yes,0,no,no
no,no,2004,42,Female,2,3.04,N/A,no,no,yes,13,no,no
no,no,2003,49,Female,2,3.62,N/A,no,no,yes,0,no,no
no,no,2003,43,Female,2,2.96,N/A,no,yes,yes,8,no,no
no,no,2004,47,Female,2,N/A,N/A,no,no,yes,24,yes,no
no,no,2003,41,Female,1,3.38,4,yes,no,yes,6,no,no
no,no,2003,46,Female,1,2.98,N/A,yes,no,no,0,no,no
no,no,2003,N/A,Female,2,3.06,N/A,no,no,yes,15,no,no
no,no,2004,43,Female,2,2.83,N/A,no,no,yes,19,no,no
no,no,2004,51,Female,3,N/A,N/A,yes,yes,yes,0,no,no
no,no,2003,54,Female,2,N/A,N/A,no,no,yes,23,no,no
no,no,2003,57,Female,2,2.69,N/A,yes,no,yes,1,no,no
no,no,2004,47,Female,2,N/A,N/A,yes,no,yes,29,yes,no
no,no,2004,56,Male,2,3.74,3.9,yes,no,yes,11,no,no
no,no,2004,47,Female,2,N/A,N/A,pending,no,yes,12,yes,no
no,no,2004,57,Female,2,2.61,N/A,no,yes,no,21,no,no
no,no,2004,43,Female,1,3.77,3.95,yes,yes,yes,12,yes,no
no,no,2003,42,Male,2,3.75,3.87,yes,no,yes,3,no,no
no,no,2004,41,Male,3,3.49,N/A,no,no,yes,4,yes,no
no,no,2004,42,Female,2,N/A,3.92,yes,no,yes,0,no,no
no,no,2003,41,Female,2,3.72,4.14,yes,no,yes,16,no,no
no,no,2003,N/A,Female,2,2.64,3.86,no,no,yes,0,no,no
no,no,2004,46,Female,2,3.22,3.94,yes,no,yes ,23,yes,no
no,no,2003,41,Female,1,3.05,3.95,yes,no,yes,9,no,no
no,no,2004,47,Female,1,3.82, N/A,no,no,no,14,no,no
no,no,2004,44,Female,2,3.12,4,pending,no,yes,17,yes,no
no,no,2003,40,Female,2,N/A,N/A,no,no,yes,7,no,no
no,no,2003,46,Female,2,N/A,3.7,yes,no,yes,0,no,no
no,no,2004,41,Female,1,3.63,3.96,yes,no,yes,16,no,no
no,no,2004,43,Female,2,3.04,3.91,yes,no,yes,7,no,no
no,no,2003,41,Female,2,2.3,3.41,yes,no,no,0,no,no
no,no,2004,41,Female,2,2.04,3.73,yes,no,yes,0,no,no
no,no,2003,43,Female,2,N/A,3.9,pending,no,yes,0,no,no
no,no,2004,59,Female,2,2.71,N/A,yes,no,yes,9,no,no
no,no,2003,N/A,Female,2,N/A,3.6,yes,no,yes,0,no,no
no,no,2003,N/A,Male,2,N/A,N/A,no,no,no,8,no,no
no,no,2003,40,Female,2,3.71,N/A,no,no,yes,2,yes,no
no,no,2005,40,Female,2,2.42,N/A,no,yes,no,14,no,no
no,no,2004,52,Female,2,3.28,N/A,no,no,yes,11,no,no
no,no,2004,53,Female,2,2.66,3.8,yes,no,yes,18,no,no
no,no,2004,46,Female,2,3,N/A,no,no,yes,9,no,no
no,no,2003,43,Female,2,3.09,4,yes,no,yes,21,no,no
no,no,2003,45,Female,2,3.5,N/A,no,no,yes,7,no,no
no,no,2004,43,Female,1,2.99,3.93,yes,yes,yes,5,no,no
no,no,2004,40,Female,2,2.98,3.34,yes,no,yes,10,yes,no
no,no,2003,50,Female,2,2.98,3.34,yes,no,yes,0,no,no
no,no,2003,48,Female,2,3.15,3.54,yes,yes,yes,4,no,no
no,no,2004,48,Female,2,3.01,N/A,no,yes,yes,11,no,no
no,no,2004,45,Female,2,3.58,N/A,no,no,yes,13,no,no
no,no,2003,48,Female,2,3.83,N/A,pending,yes,yes,4,no,no
no,no,2004,47,Female,1,N/A,3.88,yes,no,yes,25,no,no
no,no,2004,51,Female,2,N/A,N/A,yes,,,,,
no,no,2004,43,Female,2,3.47,3.94,yes,no,yes,23,no,no
no,no,2003,40,Female,2,2.79,3.97,yes,no,yes,15,no,no
no,no,2004,50,Female,2,3.62,N/A,pending,yes,yes,5,yes,no
no,no,2003,49,Female,2,2.9,N/A,pending,no,no,21,no,no
no,no,2004,55,Female,1,N/A,N/A,no,no,yes,32,yes,no
no,no,2004,56,Female,2,N/A,3.87,yes,yes,yes,21,no,no
no,no,2004,42,Female,2,2.86,3.8,yes,no,yes,1,no,no
no,no,2003,41,Female,2,N/A,4,yes,yes,yes,13,yes,no
no,no,2003,49,Female,2,2.98,N/A,no,yes,yes,0,no,no
no,no,2003,44,Female,2,2.86,3.94,yes,yes,yes,25,yes,no
no,no,2004,48,Female,2,3.09,N/A,no,no,yes,21,no,no
no,no,2004,48,Female,2,3.7,N/A,no,yes,yes,16,no,no
no,no,2003,51,Male,2,2.66,3.47,yes,yes,yes,1,no,no
no,no,2003,50,Female,2,2.87,3.78,yes,yes,yes,0,no,no
no,no,2003,54,Male,2,2.56,3.67,no,no,yes,16,no,no
no,no,2003,44,Female,2,3.95,N/A,yes,no,yes,16,no,no
no,no,2003,51,Female,2,3.67,N/A,no,no,yes,28,no,no
no,no,2004,42,Female,2,3.21,N/A,no,no,yes,16,no,no
no,no,2003,40,Female,2,3.61,3.67,yes,no,yes,13,yes,no
no,no,2004,54,Female,3,N/A,3.56,yes,no,no,0,no,no
no,no,2004,42,Female,2,N/A,N/A,yes,yes,yes,2,yes,no
no,no,2004,46,Female,2,2.73,3.52,yes,no,yes,21,yes,no
no,no,2004,41,Female,2,N/A,N/A,yes,yes,yes,13,no,no
no,no,2003,48,Male,2,2.28,3.34,yes,no,yes,0,no,no
no,no,2003,55,Female,3,N/A,N/A,yes,no,no,2,no,no
no,no,2004,41,Female,2,3.55,4,yes,no,yes,12,no,no
no,no,2003,58,Female,2,N/A,N/A,yes,no,no,0,no,no
no,no,2003,48,Female,2,3.48,N/A,no,yes,yes,12,no,no
no,no,2003,48,Female,3,N/A,N/A,yes,no,yes,0,no,no
no,no,2003,52,Female,2,N/A,3.88,yes,no,yes,28,no,no
no,no,2004,49,Male,1,3.7,N/A,yes,yes,yes,18,no,no
no,no,2003,45,Female,2,3.11,3.98,yes,no,yes,10,no,no
no,no,2002,58,Female,2,3.16,3.75,yes,no,yes,12,no,no
no,no,2003,58,Female,4,3.54,3.58,yes,no,no,0,no,no
no,no,2003,52,Female,2,3.69,N/A,no,no,no,4,yes,yes
no,no,2004,53,Female,2,N/A,N/A,no,no,yes,29,no,no
no,no,2001,49,Female,2,3.13,3.91,yes,no,yes,24,yes,no
no,no,2004,41,Male,2,3.54,N/A,no,yes,yes,17,no,no
no,no,2004,45,Male,3,N/A,3.75,no,no,no,14,no,no
no,no,2004,40,Female,2,2.93,3.85,yes,no,yes,12,yes,yes
no,no,2004,41,Female,2,3.63,N/A,no,yes,yes,5,no,no
no,no,2004,42,Female,2,N/A,3.85,no,no,yes,2,no,no
no,no,2004,41,Female,2,3.75,N/A,no,no,yes,0,no,no
no,no,2004,49,Female,2,3.57,N/A,no,no,yes,0,no,no
no,no,2003,52,Female,2,2.73,4.07,yes,yes,yes,0,no,no
no,no,2004,53,Female,2,3.33,N/A,no,no,yes,11,no,no
no,no,2003,58,Female,2,3.08,N/A,yes,no,no,16,no,no
no,no,2004,44,Female,2,3.86,N/A,no,no,yes,20,yes,no
no,no,2003,45,Female,2,2.94,3.89,yes,no,yes,5,no,no
no,no,2003,N/A,Female,1,N/A,N/A,yes,no,yes,2,no,no
no,no,2004,53,Female,2,2.09,N/A,no,no,no,0,no,no
no,no,2003,54,Female,3,3.03,3.29,no,no,yes,10,no,no
no,no,2004,44,Female,2,N/A,N/A,pending,no,yes,12,no,no
no,no,2004,43,Female,2,3.22,3.97,yes,no,yes,0,no,no
no,no,2003,52,Female,2,N/A,N/A,no,no,yes,25,no,no
no,no,2004,44,Female,2,N/A,N/A,yes,yes,yes,0,no,no
no,no,2003,55,Female,2,N/A,N/A,yes,no,yes,18,no,no
no,no,2003,45,Female,2,3.73,N/A,pending,no,yes,4,no,no
no,no,2004,47,Female,2,N/A,3.94,yes,no,yes,22,no,no
no,no,2003,51,Female,2,N/A,N/A,no,no,no,1,yes,no
no,no,2003,47,Female,2,3.91,N/A,no,no,yes,30,no,no
no,no,2004,46,Female,2,2.96,4,yes,no,yes,4,yes,no
no,no,2004,54,Female,2,2.51,N/A,pending,no,yes,25,yes,no
no,no,2002,45,Male,2,3.25,3.79,yes,no,yes,14,no,no
no,no,2004,42,Female,2,3.28,3.92,yes,no,yes,20,no,no
no,no,2003,42,Female,2,2.79,4,yes,yes,yes,7,no,no
no,no,2003,40,Female,2,3.13,3.9,yes,no,yes,0,no,no
no,no,2004,46,Male,2,3.52,N/A,no,no,yes,2,yes,no
no,no,2004,NA,Female,2,N/A,N/A,no,no,yes,18,no,no
no,no,2004,50,Male,2,3.2,3.8,yes,no,yes,25,no,no
no,no,2004,45,Female,2,3.6,3.82,yes ,yes,yes,15,yes,no
no,no,2003,59,Female,2,3.39,N/A,pending,no,yes,40,yes,no
no,no,2003,40,Female,2,2.41,3.93,yes,yes,yes,10,yes,no
no,no,2003,N/A,Female,2,N/A,N/A,no,no,yes,12,no,no
no,no,2001,46,Female,2,2.96,3.49,yes,no,yes,6,no,no
no,no,2003,45,Female,2,3.58,3.93,yes,no,yes,20,no,no
no,no,2003,58,Male,2,N/A,3.57,yes,no,no,25,no,no
no,no,2003,54,Female,2,N/A,N/A,yes,yes,yes,1,no,no
no,no,2004,54,Male,2,N/A,N/A,no,no,no,4,no,no
no,no,2003,49,Female,2,N/A,3.61,yes,no,yes,5,no,no
no,no,2003,50,Female,2,2.28,3.97,yes,yes,yes,24,no,no
no,no,2003,44,Female,2,3.95,N/A,yes,yes,yes,16,no,no
no,no,2003,54,Male,3,N/A,N/A,no,no,no,23,no,no
no,no,2004,47,Female,2,3.77,N/A,no,no,yes,2,no,no
no,no,2004,46,Female,2,3.76,3,yes,no,no,0,no,no
no,no,2004,50,Male,2,3.56,3.9,yes,no,yes,16,no,no
no,no,2002,36,Male,2,2.7,N/A,yes,no,yes,2,yes,no
no,no,2003,24,Female,3,3.16,N/A,pending,no,yes,3,yes,no
no,no,2004,25,Female,2,2.59,3.78,yes,yes,yes,6,yes,no
no,no,2001,35,Male,1,N/A,3.85,yes,yes,yes,16,no,no
no,no,2004,26,Female,1,2.51,N/A,pending,yes,yes,4,yes,no
no,no,2004,25,Male,2,3.36,N/A,no,no,yes,8,yes,no
no,no,2003,24,Female,2,2.86,N/A,pending,no,yes,4,yes,no
no,no,2003,25,Female,2,2.7,3.7,yes,no,yes,0,no,no
no,no,2004,N/A,Female,2,3.35,N/A,no,no,yes,0,no,no
no,no,2003,N/A,Female,2,3.31,N/A,no,yes,yes,4,yes,no
no,no,2003,25,Male,2,3.89,N/A,no,yes,yes,4,no,no
